COD_IMOVEL,NUM_AREA,COD_ESTADO,NOM_MUNICI,NUM_MODULO,TIPO_IMOVE,SITUACAO,CONDICAO_I
PA-1503457-214C782222964FA68956A30256BD72A7,25.0164000000,PA,Ipixuna do Pará,0.4548000000,IRU,PE,"Analisado com pendências, aguardando retificação e/ou apresentação de documentos"
PA-1503457-387E0144B6414379B251B6078C01BB73,27.5211000000,PA,Ipixuna do Pará,0.5004000000,IRU,AT,Aguardando analise
PA-1503457-02A0FD3D8B08411E8E20D7A18AB80E32,24.9826000000,PA,Ipixuna do Pará,0.4542000000,IRU,AT,Aguardando analise
PA-1503457-0870C80BFCE14A429FF540A410ED1118,217.5387000000,PA,Ipixuna do Pará,3.9552000000,IRU,PE,"Analisado com pendências, aguardando retificação e/ou apresentação de documentos"
PA-1503457-655B6C5E51714675B49304DB5E8D3494,23.4785000000,PA,Ipixuna do Pará,0.4269000000,IRU,AT,Aguardando analise
PA-1503457-1C32C322F59C4A0BA1418E7152614BD2,24.6175000000,PA,Ipixuna do Pará,0.4476000000,IRU,PE,"Analisado com pendências, aguardando retificação e/ou apresentação de documentos"
PA-1503457-2BD25FAF6C624E828CF55428AE6D84AF,24.4968000000,PA,Ipixuna do Pará,0.4454000000,IRU,AT,Aguardando analise
PA-1503457-E697FEE9C6E648A382F0835FDD27E5B8,24.0931000000,PA,Ipixuna do Pará,0.4381000000,IRU,PE,"Analisado com pendências, aguardando retificação e/ou apresentação de documentos"
PA-1503457-E0C2EFBECF4C4C16842DBBD4775B849C,70.2255000000,PA,Ipixuna do Pará,1.2768000000,IRU,PE,"Analisado com pendências, aguardando retificação e/ou apresentação de documentos"
PA-1503457-B5D9A4E406D04E58ADEAA6EE0BEAC640,39.1214000000,PA,Ipixuna do Pará,0.7113000000,IRU,PE,"Analisado com pendências, aguardando retificação e/ou apresentação de documentos"
PA-1503457-669992105D8144479E04F26DEAFEFE76,41.9914000000,PA,Ipixuna do Pará,0.7635000000,IRU,PE,"Analisado com pendências, aguardando retificação e/ou apresentação de documentos"
PA-1503457-489829274F1C4026AD47D12022909C89,25.0917000000,PA,Ipixuna do Pará,0.4562000000,IRU,AT,Aguardando analise
PA-1503457-95D7C21E42394F92A452465EE409BA84,55.3888000000,PA,Ipixuna do Pará,1.0071000000,IRU,PE,"Analisado com pendências, aguardando retificação e/ou apresentação de documentos"
PA-1503457-FEC5F5F8DCC247379CDBE381B856892F,17.7619000000,PA,Ipixuna do Pará,0.3229000000,IRU,PE,"Analisado com pendências, aguardando retificação e/ou apresentação de documentos"
PA-1503457-3A94F57FB8F14C55A1D2B573626C59DE,21.8806000000,PA,Ipixuna do Pará,0.3978000000,IRU,PE,"Analisado com pendências, aguardando retificação e/ou apresentação de documentos"
PA-1503457-CBFB985751B94E94ABBBCD24962406C3,53.4268000000,PA,Ipixuna do Pará,0.9714000000,IRU,PE,"Analisado com pendências, aguardando retificação e/ou apresentação de documentos"
PA-1503457-DA9482B38BF84B19A09CF99C5ED4AB68,28.9016000000,PA,Ipixuna do Pará,0.5255000000,IRU,AT,Aguardando analise
PA-1503457-7D443CF6E5F1422D89E74F29F57B4DA8,73.5833000000,PA,Ipixuna do Pará,1.3379000000,IRU,PE,"Analisado com pendências, aguardando retificação e/ou apresentação de documentos"
PA-1503457-1B3CC1AB6C3F4CE29FB19A17AD05D7A5,7.9689000000,PA,Ipixuna do Pará,0.1449000000,IRU,AT,Aguardando analise
PA-1503457-0FC79F9738124CDABE07CD3A584A8961,32.1860000000,PA,Ipixuna do Pará,0.5852000000,IRU,PE,"Analisado com pendências, aguardando retificação e/ou apresentação de documentos"
PA-1503457-39BBCD5AA8B54CAFA00969EE281BE24D,24.2371000000,PA,Ipixuna do Pará,0.4407000000,IRU,PE,"Analisado com pendências, aguardando retificação e/ou apresentação de documentos"
